"","nbhd","quality"
"1","Alder-Three Sisters Park",55.3666666666667
"2","Allendale",40.3416666666667
"3","Alta Vista and Memorial Park",25.6285714285714
"4","Applewood, Echo Hill, Rolling Hills and Meadows",64.1229166666667
"5","Arvada Center",17.2
"6","Athmar Park",27.2008333333333
"7","Aurora Highlands and Side Creek",16.3142857142857
"8","Baker",37.4333333333333
"9","Barnum",12.9166666666667
"10","Barnum West",24.15
"11","Barr Lake State Park",44.2
"12","Bear Valley",23.34
"13","Bell Park",69.1238095238095
"14","Benedict Park, Central Brighton",23.6033333333333
"15","Berkeley",32.55
"16","Berrian Mountain",56.7222222222222
"17","Big Dry Creek",29.4416666666667
"18","Bowels Grove Park",47.8583333333333
"19","Capitol Hill",32.1675324675325
"20","Castle Pines North",55.8912202380952
"21","Castlewood Ranch",38.8875
"22","Centennial Airport",47.154
"23","Central Commerce City",35.05
"24","Central East Aurora",24.4916666666667
"25","Central North Broomfield",57.5722222222222
"26","Central Northglenn",22.7820875420875
"27","Central south Littleton",64.1583333333333
"28","Central West Broomfield",48.425
"29","Chaffee Park",16.3666666666667
"30","Chambers Heights and Laredo Highline",23.0190476190476
"31","Charles Whitlock Rec Park and Morse Park",20.375
"32","Chautauqua, Table Mesa, and Devil's Thumb",65.5276666666667
"33","Cherry Creek",75.0333333333333
"34","Cherry Creek Reservoir",61.1041666666667
"35","Cherry Hills Village Area",80.0666666666667
"36","City Park",38.8875
"37","Clark Centennial Park",38.1013247863248
"38","Clayton",23.6505555555556
"39","Clement Park",60.375
"40","Clubcrest",55.6625
"41","Cole",22.3144444444444
"42","College View",34.12
"43","Congress Park",59.4833333333333
"44","Conservatory",46.7083333333333
"45","Continental Divide Raceway, Dawson Butte and True Mountain",43.1333333333333
"46","Cory-Merrill",61.1055555555556
"47","Country Club",26.8571428571429
"48","Dekoevend Park",47.1583333333333
"49","Delmar Parkway, Jewell Heights, and Hoffman Heights",16.3297619047619
"50","Derby, Southeast Thornton, and Southwest Commerce City",11.43
"51","Dover Square Park",26.68
"52","East Arapaphoe",37.4708333333333
"53","East Brighton",37.7975524475524
"54","East central Englewood",25.2954421768707
"55","East Colfax",19.65
"56","East Columbine",74.0333333333333
"57","East Old Golden RD",29.865
"58","East Roxborough Park",35.7625
"59","Elk Meadow Park",36.0666666666667
"60","Elyria Swansea",13.2
"61","Exposition Park and Aurora Hills",23.3006462585034
"62","Far Horizons",22.3333333333333
"63","Federal Heights Federal Heights and Sherrelwood",22.4227777777778
"64","Five Points",69.7916666666667
"65","Flatirons and Grant",54.1
"66","Fort Logan",27
"67","Fruitdale, Kipling and I-70 & Clearcreek",24.5352092352092
"68","Garden Acres Park",27.9
"69","Genesee Park",70.6041666666667
"70","Globeville",24.2833333333333
"71","Glover, Plum Creek Fairway and Crystal Valley Ranch",19.825
"72","Golden Gate Canyon and Coal Creek Canyon",61.5125
"73","Goldsmith",53.2333333333333
"74","Green Valley Ranch",29.7491323953824
"75","Gunbarrel Area",55.5
"76","Hackberry Hill",40.25
"77","Hale",37.475
"78","Hampden",30.6944444444444
"79","Hampden South",44.35
"80","Harriman Lake, Weaver Hollow Park and Blue Heron Park",52.7125
"81","Harvey Park",24.1944444444444
"82","Harvey Park South",32.7956349206349
"83","Hayden Green Mountain Park",51.0355357142857
"84","Heritage Eagle Bend",55.4010582010582
"85","Heritage Hills and Stonegate",41.2854166666667
"86","Highland",33.6248484848485
"87","Highlands",55.2083333333333
"88","Highlands Ranch East",55.5010601577909
"89","Highlands Ranch Southeast",58.7025
"90","Highlands Ranch West",50.1055952380952
"91","Highlands, Prkway, Wood Creek and Hackbrhl",20.7375
"92","Hilltop",62.0008333333333
"93","Hine Lake, Powderhorn Park and Westbury Park",50.0590773809524
"94","Holly Hills",32.4
"95","Homestead Park and Columbine",19.90625
"96","Indian Creek",50.95
"97","Jefferson Park",33.6666666666667
"98","Kamemoto Park",36.444387755102
"99","Ken Caryl Ranch",60.310202991453
"100","Lac Amora Park and Zangs Spur Park",54.9733333333333
"101","Lake Arbor",31.65
"102","Lakota Hills, Golden Proper",51.2058943833944
"103","Laredo Highline",16.0666666666667
"104","Larmar Heights",26.9
"105","Lemon Gulch",31.6166666666667
"106","Lincoln Park",24.9685714285714
"107","Littleton North",17.7181818181818
"108","Long Lake Ranch Park and North Table Mountain",54.16625
"109","Louisville and Southeast Boulder Valley",60.6961881868132
"110","Lowry Field",38.9166666666667
"111","Lyons and Rabbit Mountain",59.8416666666667
"112","Mapleton Hill, Newlands, and Juniper / Kalmia",72.1
"113","Mar Lee",27.9319444444444
"114","Marston",29.1333333333333
"115","Martin Acres, Majestic Heights, and Superior",66.7292582417582
"116","McIntosh Park",54.2083333333333
"117","Mission Viejo",35.7833333333333
"118","Mitchell Culch Park",30.475
"119","Montbello",18.097742733457
"120","Montclair",31.55
"121","Montview Park",11.075
"122","Mount Carbon Park and Westgate",50.1854166666667
"123","Mount Falcon Canyon Park",82.1833333333333
"124","Nederland and Boulder Mountain Park",45.325
"125","North Aurora",16.5765
"126","North Capitol Hill",45.9166666666667
"127","North Central Westminster",45.3988095238095
"128","North Park Hill",39.16875
"129","North StandleyLake Open Space Park",54.5525
"130","North Thornton",46.2207142857143
"131","Northeast Adams",34.5119047619048
"132","Northeast Broomfield",43.6464285714286
"133","Northeast Centennial",53.9736996336996
"134","Northeast Lakewood",21.8307142857143
"135","Northeast Littleton",40.4690476190476
"136","Northeast Park Hill",11.6
"137","Northeast Parker",45.2398901098901
"138","Northwest Arvada",40.8960544217687
"139","Northwest Lakewood",32.6855303030303
"140","Northwest Sheridan",10.3
"141","Oakhurst Park, Sherwood Park",44.6099074074074
"142","Okane Park, Washington Heights Park",40.0323412698413
"143","Old North Boulder",32.0607142857143
"144","Olympic Park",34.6255952380952
"145","Parker North and Parker Heights",48.06875
"146","Pinery Park",44.6273148148148
"147","Platte Park",34.1333333333333
"148","Pomona",31.7666666666667
"149","Quail Crossing Park",46.9666666666667
"150","Ralston",62.24
"151","Red Hawk and Solitude Colorado",40.9726282051282
"152","Riverdale Park and South Thornton",28.265
"153","Rocky Mountain Arsenal",18.65
"154","Roosevelt Park and Sunset Park",20.922
"155","Rough & Ready Park and Stephen Day Park",43.9428571428571
"156","Ruby Hill",28.3916666666667
"157","Scenic Heights",32.0875
"158","Sierra Vista",59.2375
"159","Skiline, Arvada Plaza and Terrace Park",23.4276785714286
"160","Skyland",31.11
"161","Sloans Lake",24.6011111111111
"162","South Commerce City",22.7062169312169
"163","South Lakewood",37.9213095238095
"164","South Littleton",65.2
"165","South Marston Lake",54.537
"166","South Park Hill",65.3277777777778
"167","South Standley Lake",35.925
"168","South Westminster",26.4363203463203
"169","Southeast Aurora",39.5208333333333
"170","Southeast Boulder",68.8047619047619
"171","Southeast Broomfield",51.1458333333333
"172","Southeast Centennial",56.35
"173","Southeast Lafayette",50.871875
"174","Southeast Lafayette and Rock Creek Farm Park",37.865
"175","Southmoor Park",45.5666666666667
"176","Southwest Longmont",61.2135416666667
"177","Southwest Standley Lake",37.6125
"178","Southwest Thornton",18.568295995671
"179","Speer",69.4011904761905
"180","Stapleton",58.1383333333333
"181","Sullivan",88.3083333333333
"182","Summer Valley Park",37.3877976190476
"183","Sun Valley",19.05
"184","Sunnyside",21.1125
"185","Todd Creek and East Thornton",42.6148148148148
"186","Twin Lakes, Berkely, and West North Washington",20.1906957328386
"187","University",56.5166666666667
"188","University Hills(Boulder County)",43.9416666666667
"189","University Hills(Denver County)",59.3833333333333
"190","University Park",67.45
"191","Utah Park",23.8756385281385
"192","Van Aredale and Harvest",56.7333333333333
"193","Villa Park",20.8875
"194","Virginia Village",38.9380952380952
"195","Walnut Grove, Westbrook, Countryside and Crownpoint",44.525
"196","Washington Park",48.1479166666667
"197","Washington Park West",44.3088888888889
"198","Washington Virginia Vale",37.2145833333333
"199","Wayside Meadows Park",51.0950892857143
"200","Welby and East North Washington",28.2410714285714
"201","Wellshire",80.0083333333333
"202","West Boulder including Ward and Jamestown",40.22
"203","West Brighton",27.9092857142857
"204","West Centennial",62.9869444444444
"205","West Colfax",18.4416666666667
"206","West Erie",55.8583333333333
"207","West Greenwood Village",45.05
"208","West Highland",34.5425925925926
"209","West Niwot",57.6291666666667
"210","West Northglenn",32.6666666666667
"211","West Pike National Forest",66.5
"212","Westminster Center Park",19.0983333333333
"213","Westwood",16.2471428571429
"214","Westwoods Park",73.525
"215","Whisper Creek",68.075
"216","Whittier(Boulder County)",50.05
"217","Whittier(Denver County)",24.7875
"218","Wonderland, Boulder Meadows, and Catalpa Park",44.8039682539683
"219","Wyco Park, Northeast Northglenn",53.7733333333333
"220","Yankee Doodle Park, Ralston Vally and Apex",50
